fecha,direccion,resultado,entry,pnl_bruto,fees,pnl_neto,capital
2024-04-18 09:00:00,LONG,TAKE,61513.23,25.2,0.2086,24.9914,1125.5248
2024-04-19 18:00:00,LONG,STOP,64343.75,-16.8,0.2044,-17.0044,1108.5204
2024-04-22 17:45:00,LONG,TAKE,65020.36,25.2,0.2086,24.9914,1133.5118
2024-04-24 09:30:00,LONG,STOP,66526.66,-16.8,0.2044,-17.0044,1116.5074
2024-04-26 20:15:00,LONG,STOP,64007.67,-16.8,0.2044,-17.0044,1099.503
2024-04-29 01:45:00,LONG,STOP,63289.38,-16.8,0.2044,-17.0044,1082.4986
2024-04-29 19:45:00,LONG,TAKE,62477.13,25.2,0.2086,24.9914,1107.49
2024-05-02 16:30:00,LONG,TAKE,57887.98,25.2,0.2086,24.9914,1132.4814
2024-05-06 14:15:00,LONG,STOP,64059.62,-16.8,0.2044,-17.0044,1115.477
2024-05-07 19:30:00,LONG,STOP,63436.35,-16.8,0.2044,-17.0044,1098.4726
2024-05-08 17:00:00,LONG,STOP,62606.54,-16.8,0.2044,-17.0044,1081.4682
2024-05-09 17:45:00,LONG,TAKE,61393.63,25.2,0.2086,24.9914,1106.4596
2024-05-10 09:45:00,LONG,STOP,62788.17,-16.8,0.2044,-17.0044,1089.4552
2024-05-14 01:15:00,LONG,STOP,62887.37,-16.8,0.2044,-17.0044,1072.4508
2024-05-20 14:15:00,LONG,TAKE,67055.63,25.2,0.2086,24.9914,1097.4422
2024-05-21 10:45:00,LONG,STOP,71125.87,-16.8,0.2044,-17.0044,1080.4378
2024-05-23 08:45:00,LONG,STOP,69879.96,-16.8,0.2044,-17.0044,1063.4334
2024-05-25 05:45:00,LONG,TAKE,67382.98,25.2,0.2086,24.9914,1088.4248
2024-05-27 23:30:00,LONG,STOP,68978.66,-16.8,0.2044,-17.0044,1071.4204
2024-06-05 10:15:00,LONG,TAKE,69476.05,25.2,0.2086,24.9914,1096.4118
2024-06-07 13:00:00,LONG,STOP,71131.45,-16.8,0.2044,-17.0044,1079.4074
2024-06-12 07:30:00,LONG,TAKE,67055.54,25.2,0.2086,24.9914,1104.3988
2024-06-14 11:00:00,LONG,STOP,66965.8,-16.8,0.2044,-17.0044,1087.3944
2024-06-17 20:30:00,LONG,STOP,66140.95,-16.8,0.2044,-17.0044,1070.39
2024-06-21 03:45:00,LONG,STOP,65263.23,-16.8,0.2044,-17.0044,1053.3856
2024-06-27 01:45:00,LONG,STOP,61883.97,-16.8,0.2044,-17.0044,1036.3812
2024-06-28 14:15:00,LONG,STOP,61646.45,-16.8,0.2044,-17.0044,1019.3768
2024-07-04 19:00:00,LONG,STOP,58023.72,-16.8,0.2044,-17.0044,1002.3724
2024-07-10 00:00:00,LONG,TAKE,57735.45,25.2,0.2086,24.9914,1027.3638
2024-07-11 07:30:00,LONG,TAKE,57751.41,25.2,0.2086,24.9914,1052.3552
2024-07-13 11:00:00,LONG,TAKE,57199.09,25.2,0.2086,24.9914,1077.3466
2024-07-14 03:15:00,LONG,TAKE,58568.63,25.2,0.2086,24.9914,1102.338
2024-07-14 20:15:00,LONG,TAKE,59963.83,25.2,0.2086,24.9914,1127.3294
2024-07-16 19:30:00,LONG,TAKE,63584.29,25.2,0.2086,24.9914,1152.3208
2024-07-24 16:30:00,LONG,STOP,66527.52,-16.8,0.2044,-17.0044,1135.3164
2024-07-25 20:00:00,LONG,TAKE,64610.53,25.2,0.2086,24.9914,1160.3078
2024-07-29 07:30:00,LONG,TAKE,67891.94,25.2,0.2086,24.9914,1185.2992
2024-08-05 19:15:00,LONG,TAKE,53838.1,25.2,0.2086,24.9914,1210.2906
2024-08-07 05:30:00,LONG,TAKE,56037.68,25.2,0.2086,24.9914,1235.282
2024-08-07 09:30:00,LONG,STOP,57177.42,-16.8,0.2044,-17.0044,1218.2776
2024-08-11 15:00:00,LONG,STOP,60610.55,-16.8,0.2044,-17.0044,1201.2732
2024-08-13 11:45:00,LONG,TAKE,59284.83,25.2,0.2086,24.9914,1226.2646
2024-08-17 21:45:00,LONG,TAKE,58357.81,25.2,0.2086,24.9914,1251.256
2024-08-21 14:45:00,LONG,TAKE,59808.14,25.2,0.2086,24.9914,1276.2474
2024-08-23 12:45:00,LONG,TAKE,60968.59,25.2,0.2086,24.9914,1301.2388
2024-08-26 18:45:00,LONG,STOP,64093.05,-16.8,0.2044,-17.0044,1284.2344
2024-08-28 10:00:00,LONG,STOP,60079.72,-16.8,0.2044,-17.0044,1267.23
2024-08-29 10:00:00,LONG,TAKE,59193.39,25.2,0.2086,24.9914,1292.2214
2024-09-01 00:15:00,LONG,STOP,59252.25,-16.8,0.2044,-17.0044,1275.217
2024-09-03 20:00:00,LONG,STOP,58227.3,-16.8,0.2044,-17.0044,1258.2126
2024-09-09 11:15:00,LONG,TAKE,54400.99,25.2,0.2086,24.9914,1283.204
2024-09-11 09:00:00,LONG,STOP,56831.56,-16.8,0.2044,-17.0044,1266.1996
2024-09-13 12:45:00,LONG,TAKE,58104.67,25.2,0.2086,24.9914,1291.191
2024-09-18 18:45:00,LONG,TAKE,59852.07,25.2,0.2086,24.9914,1316.1824
2024-09-26 09:15:00,LONG,TAKE,63163.0,25.2,0.2086,24.9914,1341.1738
